"          ""city""","   ""age""","  ""pop"""," ""cases"""
"  ""Fredericia"""," ""40-54""",3059,11
"     ""Horsens"""," ""40-54""",2879,13
"     ""Kolding"""," ""40-54""",3142,4
"       ""Vejle"""," ""40-54""",2520,5
"  ""Fredericia"""," ""55-59""",800,11
"     ""Horsens"""," ""55-59""",1083,6
"     ""Kolding"""," ""55-59""",1050,8
"       ""Vejle"""," ""55-59""",878,7
"  ""Fredericia"""," ""60-64""",710,11
"    ""Horsens"""," ""60-64""",923,15
"    ""Kolding"""," ""60-64""",895,7
"      ""Vejle"""," ""60-64""",839,10
" ""Fredericia"""," ""65-69""",581,10
"    ""Horsens"""," ""65-69""",834,10
"    ""Kolding"""," ""65-69""",702,11
"      ""Vejle"""," ""65-69""",631,14
" ""Fredericia"""," ""70-74""",509,11
"    ""Horsens"""," ""70-74""",634,12
"    ""Kolding"""," ""70-74""",535,9
"      ""Vejle"""," ""70-74""",539,8
" ""Fredericia""","   ""75+""",605,10
"    ""Horsens""","   ""75+""",782,2
"    ""Kolding""","   ""75+""",659,12
"      ""Vejle""","   ""75+""",619,7